"Estado","Ano","ImpostoSobreProduto","Pib","RendaPerCapita","RendimentoMedio","TaxaDesemprego","TotalAdmissao","TotalDemissao","TaxaInadimplencia","QtdInadimplentes","TotalHomem","TotalMulher","H_0 a 1","H_1 a 4","H_5 a 9","H_10 a 14","H_15 a 19","H_20 a 29","H_30 a 39","H_40 a 49","H_50 a 59","H_60 a 69","H_70 a 79","H_80 +","M_0 a 1","M_1 a 4","M_5 a 9","M_10 a 14","M_15 a 19","M_20 a 29","M_30 a 39","M_40 a 49","M_50 a 59","M_60 a 69","M_70 a 79","M_80 +","Automovel","Caminhao","CaminhaoTrator","Caminhonete","Camioneta","Ciclomotor","Microonibus","Motocicleta","Motoneta"
"Rio Grande do Sul   ","2016","52,764,585","408,645,000"," $ 1,554.00 "," $ 2,556.25 ","8.2%","1004092","1061358","33.76%","2832766","5464063","5821759","46477","200444","321818","432996","406661","963315","775032","798122","750372","457728","222518","88580","46985","196032","304699","414424","398962","965929","782219","857226","835180","529500","311732","178871","4071134","222940","55493","483609","234926","5299","20361","1039618","181090"
"Rondônia","2016","4,075,520","39,451,000"," $ 901.00 "," $ 1,788.75 ","7.9%","97214","111081","42.94%","513290","913812","874065","14263","57355","74224","84934","85934","182136","143325","122846","79353","43996","18092","7354","12504","55271","73088","80977","81576","170698","145250","113977","76086","39279","17978","7381","255545","29982","6135","83100","11403","2281","1204","370172","112533"
"Roraima","2016","835,732","11,011,000"," $ 1,068.00 "," $ 2,267.75 ","8.8%","19633","20321","56.23%","175485","260729","253665","5025","20268","27313","29724","26282","50157","38316","28464","19123","10060","4301","1696","4753","19070","25901","28982","25588","50628","39495","27183","17678","8589","3885","1913","66722","4646","651","23545","4635","963","647","75528","19218"
"Santa Catarina","2016","38,841,582","256,661,000"," $ 1,458.00 "," $ 2,401.75 ","6.3%","865817","898823","33.95%","1711683","3407390","3481721","38149","148897","201062","264845","277932","658056","525238","525860","405179","220201","105425","36546","36758","141432","193859","256271","274983","631649","525844","545977","429125","244841","135289","65693","2733827","148303","48660","353967","156774","1721","11688","833005","259824"
"São Paulo","2016","313,450,001","2,038,005,000"," $ 1,723.00 "," $ 3,028.25 ","12.4%","4275084","4676636","42.17%","13901122","21640037","23117627","214970","856495","1277277","1618275","1450586","3998742","3608081","3191440","2736663","1534958","796155","356395","211301","819879","1207260","1555662","1381148","3922910","3780027","3477889","3148065","1862236","1102769","648481","17247124","669056","162501","1825129","1105626","53318","118291","4378772","828036"
"Sergipe","2016","4,125,535","38,867,000"," $ 878.00 "," $ 1,746.00 ","13.3%","81603","97053","41.12%","626043","1094787","1171513","12536","56883","80610","105444","97001","214858","180240","152036","94584","59893","27751","12951","13035","53603","78302","101660","99591","224722","196454","165970","109138","68192","39572","21274","307389","20833","2368","39148","14208","20557","3385","231233","39819"
"Tocantins","2016","3,053,352","31,576,000"," $ 863.00 "," $ 1,868.00 ","11.5%","60956","65585","46.28%","462705","775833","757539","11568","47778","67828","78072","74301","145325","119563","94469","63139","40840","23204","9746","11249","47427","63781","74582","73674","145692","121077","92330","60500","36759","21212","9256","194009","22215","4613","59162","9942","1868","1601","218287","89035"
"Acre","2017","1,328,801","13,879,198"," $ 769.00 "," $ 1,828.50 ","14.1%","22351","23347","51.3%","251103","415827","414510","7076","31585","45062","49673","40678","78466","63682","42869","28515","16227","7980","4014","6783","30129","42240","48416","41331","79356","65265","43187","29089","16561","8173","3980","83333","7085","837","25469","4139","576","360","111462","23628"
"Alagoas","2017","5,321,602","52,544,789"," $ 658.00 "," $ 1,415.50 ","16.7%","101000","109324","42.1%","916198","1612890","1831506","714","16511","57715","107888","64534","365331","288910","290995","192690","136490","70861","20251","3398","15100","54270","119537","83591","386559","371749","305124","220899","135914","93118","42247","340537","21028","2351","52180","20330","622","6385","273309","38259"
"Amapá","2017","776,527","14,816,707"," $ 936.00 "," $ 2,387.00 ","17.7%","17668","18593","59.8%","282409","399096","399117","7163","29336","40916","46883","42123","79006","62684","42893","26620","12937","6279","2256","7257","27652","39283","45997","41733","81055","65687","42029","25677","12759","6804","3184","76732","4005","332","20668","4369","944","459","62022","12020"
