Estado,Ano,ImpostoSobreProduto,Pib,RendaPerCapita,RendimentoMedio,TaxaDesemprego,TotalAdmissao,TotalDemissao,TaxaInadimplencia,QtdInadimplentes,TotalHomem,TotalMulher,H_0 a 1,H_1 a 4,H_5 a 9,H_10 a 14,H_15 a 19,H_20 a 29,H_30 a 39,H_40 a 49,H_50 a 59,H_60 a 69,H_70 a 79,H_80 +,M_0 a 1,M_1 a 4,M_5 a 9,M_10 a 14,M_15 a 19,M_20 a 29,M_30 a 39,M_40 a 49,M_50 a 59,M_60 a 69,M_70 a 79,M_80 +,Automovel,Caminhao,CaminhaoTrator,Caminhonete,Camioneta,Ciclomotor,Microonibus,Motocicleta,Motoneta
Maranhao,2018,10964072,98906012,605.0,1342.25,0.14400000000000002,141243,133988,0.43310000000000004,1889977,3516527,3547785,56263,256014,343359,367344,339603,698049,504225,364228,260589,177783,104768,44302,56249,248096,327842,353058,335234,707180,520485,387468,287051,172421,102962,49739,436261,41376,4896,119404,24202,10501,4948,856073,158899
Mato Grosso,2018,16254626,156665362,1386.0,2381.75,0.079,376081,352479,0.48950000000000005,1112088,1707508,1667328,21784,96728,124037,141338,141020,319344,285141,251849,166127,93816,49346,16978,24104,94393,115975,137422,142378,303573,292117,238531,163891,91000,44992,18952,721375,73176,34054,222868,43928,7559,3657,621442,226857
Mato Grosso do Sul,2018,10143317,109432890,1439.0,2351.5,0.076,225401,230477,0.43939999999999996,818605,1347350,1390127,19239,73441,95325,115293,117435,247806,201696,190934,142480,80646,44985,18070,19353,70392,90152,111633,115103,243371,229900,200400,151458,87161,48651,22553,733440,53321,17573,161534,41010,3734,3961,369495,110674
Minas Gerais,2018,75236748,595239574,1322.0,2047.25,0.107,1713719,1643914,0.4008,6088665,10415391,10858722,93483,373300,571661,804578,806126,1912295,1623506,1562404,1309656,762955,419408,176019,90016,352895,570950,785112,791295,1875264,1654863,1650778,1425898,842097,536508,283046,6169791,334674,71325,930601,335713,49977,47041,2520486,291267
Para,2018,14663519,152404990,863.0,1576.5,0.111,258849,248358,0.478,2477067,4282666,4214625,71473,301936,408925,456584,418259,836078,679832,475010,322691,184595,92018,35265,69280,289706,395420,438884,410493,837729,667377,460049,318143,183622,98037,45885,599684,62038,8679,149713,39919,5813,6682,874928,191756
Paraiba,2018,6726861,64983220,898.0,1705.5,0.111,122982,119193,0.3444,950955,1964130,2093023,28562,105983,149028,164671,162446,369507,307147,271094,176840,125878,65079,37895,25813,99782,141306,159646,156938,374718,325195,294228,206093,154669,94641,59994,527465,28727,2737,82717,28253,29466,4791,489799,67748
Parana,2018,50789319,451060356,1607.0,2514.25,0.08800000000000001,1125644,1087513,0.39659999999999995,3201579,5573643,5833353,57008,211240,289653,446122,439871,973794,839829,889865,692142,413957,229138,91024,50794,196295,287404,427896,438943,949730,884907,941757,765554,485073,271249,133751,4428638,272586,91692,661091,244857,8213,22875,1162696,296790
Pernambuco,2018,25030846,187942664,871.0,1768.0,0.16699999999999998,377478,380518,0.44880000000000003,2907498,4574525,4972986,53438,232022,350715,408231,372514,861374,755323,631100,424422,277681,137842,69863,52382,222017,335427,393228,370206,895067,813992,708372,515075,348075,206025,113120,1319704,93595,12192,183548,92651,38852,18906,1039988,109052
Piaui,2018,5122005,45918628,817.0,1421.5,0.128,86079,83079,0.39770000000000005,862497,1561931,1659093,2950,7637,73037,80272,85392,332583,306247,235908,188045,131343,77658,40859,6259,10711,48298,69467,111357,303634,302489,235078,249492,149878,112072,60358,361072,30119,2670,89915,17663,6589,4064,557690,99004
Rio de Janeiro,2018,89326306,602280096,1689.0,2655.0,0.15,1100590,1102689,0.4999,6163844,7989696,8826881,83718,342622,519213,690635,624698,1357617,1261660,1147880,977933,565653,296556,121511,82673,334581,505360,666492,612222,1396972,1369813,1281012,1166663,724489,437611,248993,4511484,144869,16874,345912,302350,43174,38671,950025,169950
Rio Grande do Norte,2018,7499113,64481266,956.0,1674.25,0.136,140420,135992,0.4029,973316,1729928,1813242,20241,84922,122187,149409,151899,349348,266942,250507,151428,103048,50504,29493,19794,81958,112643,141599,149196,347726,278552,269498,173835,123735,70090,44616,556093,34343,3565,87437,30274,26606,5125,438525,61923
Rio Grande do Sul   ,2018,61143943,461949798,1705.0,2591.0,0.081,1059684,1042876,0.36840000000000006,3091758,5498755,5868415,43365,189152,311708,430368,400223,974513,774398,808372,773916,471732,229020,91988,44195,185428,294521,411726,392992,977371,779639,869264,862266,544608,320302,186103,4309287,230612,59407,535500,268744,6129,21239,1082200,190135
Rondonia,2018,4248046,45226334,1113.0,2016.75,0.08900000000000001,100228,98863,0.4686,560218,933548,893675,14117,56525,73398,85130,86464,187360,146937,127998,83199,45840,18798,7782,12258,54589,72398,81071,81936,174798,149666,118883,80140,41153,18944,7839,282439,31097,6855,93817,13023,2766,1279,394027,121783
Roraima,2018,904062,12547190,1204.0,2276.5,0.12,19133,18924,0.6137,191529,269429,262423,5101,20484,27873,30622,26958,52047,39682,29642,20113,10590,4521,1796,4797,19200,26405,29878,26202,52552,41113,28433,18690,9053,4077,2023,73728,5133,796,27327,5100,982,695,79940,20307
Santa Catarina,2018,37706304,271823716,1660.0,2556.25,0.064,965903,926256,0.3705,1868177,3496078,3576581,36795,142075,193292,264405,278978,680718,536182,549834,430709,233053,111045,38992,35562,134740,186317,255373,276179,652101,535822,571873,456799,258791,142729,70295,2934826,152905,52332,396447,188415,1919,12166,872731,274280
Sao Paulo,2018,312554603,2234211186,1898.0,3036.5,0.133,4544749,4422237,0.4603,15172062,21971331,23508693,206068,817515,1249037,1612323,1421140,4061280,3675425,3275546,2854483,1597274,826649,374591,203069,781597,1177992,1547356,1345216,3974462,3850073,3574085,3290575,1935068,1146173,683027,18230138,678933,172675,1963608,1227622,56140,121007,4634274,908868
Sergipe,2018,4280689,39487940,906.0,1666.5,0.166,82833,83026,0.44880000000000003,683281,1116201,1196825,11964,55145,79388,105870,96745,220182,185502,158422,98468,62563,28669,13283,12551,51853,77064,101888,99415,230332,202552,173074,113946,70912,41062,22176,329603,21455,2596,43303,16324,24653,3436,252037,43952
Tocantins,2018,3890516,36867418,1045.0,1950.75,0.106,67539,66340,0.5052,505009,793627,776237,11406,46972,67548,78626,74665,149263,123929,98329,65943,42424,24280,10242,11077,46819,63559,74968,74084,149912,125671,96324,63494,38321,22288,9720,212782,22379,5217,65571,10982,1899,1624,232602,95195
