Idade,Juros,Classe,Genero,ValorEmprestimo,ValorFinal,QtdParcelas,ValorParcela,MotivoEmprestimo
24,2578.44,Adulto,0,3000.0,5578.44,12,464.87,Nao informado
24,1633.04,Adulto,0,1900.0,3533.04,12,294.42,Dinheiro Extra
25,859.52,Adulto,0,1000.0,1859.52,12,154.96,Pagar cartao de Credito
25,2578.44,Adulto,0,3000.0,5578.44,12,464.87,Outros
25,1125.84,Adulto,0,2400.0,3525.84,6,587.64,Pagar cartao de Credito
25,1719.04,Adulto,0,2000.0,3719.04,12,309.92,Dinheiro Extra
25,469.1,Adulto,0,1000.0,1469.1,6,244.85,Contas
25,988.4,Adulto,0,1150.0,2138.4,12,178.2,Nao informado
25,3437.96,Adulto,0,4000.0,7437.96,12,619.83,Nao informado
25,773.52,Adulto,0,900.0,1673.52,12,139.46,Nao informado
25,469.1,Adulto,0,1000.0,1469.1,6,244.85,Outros
25,469.1,Adulto,0,1000.0,1469.1,6,244.85,Nao informado
25,515.64,Adulto,0,600.0,1115.64,12,92.97,Outros
26,868.3,Adulto,0,1200.0,2068.3,10,206.83,Outros
26,350.84,Adulto,0,1000.0,1350.84,4,337.71,Cheque Especial
26,2105.8,Adulto,0,2450.0,4555.8,12,379.65,Dinheiro Extra
26,382.25,Adulto,0,1300.0,1682.25,3,560.75,Pagamento de dívidas
26,409.2,Adulto,0,1000.0,1409.2,5,281.84,Pagar cartao de Credito
26,988.4,Adulto,0,1150.0,2138.4,12,178.2,Nao informado
26,515.64,Adulto,0,600.0,1115.64,12,92.97,Outros
26,2965.2,Adulto,0,3450.0,6415.2,12,534.6,Dinheiro Extra
26,192.96,Adulto,0,550.0,742.96,4,185.74,Nao informado
26,1719.04,Adulto,1,2000.0,3719.04,12,309.92,Outros
27,789.27,Adulto,1,1200.0,1989.27,9,221.03,Dinheiro Extra
27,2105.8,Adulto,1,2450.0,4555.8,12,379.65,Pagar cartao de Credito
27,147.01,Adulto,1,500.0,647.01,3,215.67,Outros
27,1976.8,Adulto,1,2300.0,4276.8,12,356.4,Dinheiro Extra
27,657.8,Adulto,1,1000.0,1657.8,9,184.2,Nao informado
27,859.52,Adulto,1,1000.0,1859.52,12,154.96,Viagem
28,3437.96,Adulto,1,4000.0,7437.96,12,619.83,Dinheiro Extra
28,2836.32,Adulto,1,3300.0,6136.32,12,511.36,Dinheiro Extra
28,515.64,Adulto,1,600.0,1115.64,12,92.97,Nao informado
28,2148.68,Adulto,1,2500.0,4648.68,12,387.39,Outros
28,859.52,Adulto,1,1000.0,1859.52,12,154.96,Nao informado
28,735.08,Adulto,1,2500.0,3235.08,3,1078.36,Cheque Especial
29,593.36,Adulto,1,1000.0,1593.36,8,199.17,Dinheiro Extra
